Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.899
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.999
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.982
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.663
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.871
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,1.0
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.701
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.568
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.881
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.954
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.855
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.923
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.847
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.556
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.928
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.79
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.851
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.945
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.857
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.663
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.97
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,1.0
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.75
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.969
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.616
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.547
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.971
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.578
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.996
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,1.0
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.765
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.545
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.787
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.712
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.781
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.684
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.92
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.915
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.999
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.906
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.965
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.998
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.829
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.738
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.978
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.989
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.794
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.957
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.989
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.668
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.663
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.89
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.823
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.999
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,1,0.871
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.936
Taste,Descriptor,Prediction,Probability
Bitter,molecular fingerprint,0,0.999
Taste,Descriptor,Prediction,Probability
