Name	Taste	Smiles	Reference
tartaric acid	Astringent	O=C(O)[C@H](O)[C@@H](O)C(=O)O	https://doi.org/10.1080/10408390701724223
Galic acid	Astringent	O=C(O)c1cc(O)c(O)c(O)c1	https://doi.org/10.1080/10408390701724223
citric acid	Astringent	O.O=C(O)CC(O)(CC(=O)O)C(=O)O	https://doi.org/10.1080/10408390701724223
ethanol	Astringent	CCO	https://doi.org/10.1080/10408390701724223
acetone	Astringent	CC(C)=O	https://doi.org/10.1080/10408390701724223
acetic acid	Astringent	CC(=O)O	https://doi.org/10.1080/10408390701724223
Quinic acid	Astringent	O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1	https://doi.org/10.1080/10408390701724223
adipic acid	Astringent	O=C(O)CCCCC(=O)O	https://doi.org/10.1080/10408390701724223
lactic acid	Astringent	CC(O)C(=O)O	https://doi.org/10.1080/10408390701724223
malic acid	Astringent	O=C(O)CC(O)C(=O)O	https://doi.org/10.1080/10408390701724223
soyasaponin βb (soyasaponin I)	Astringent	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C5[C@@H]7CC(C)(C)C[C@@H](O)[C@]7(C)CC[C@]56C)[C@@]4(C)CO)O[C@H](C(=O)O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	https://doi.org/10.3390/molecules28083298
soyasaponin A	Astringent	CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@H](O)[C@@H]1O	https://doi.org/10.3390/molecules28083298
soyasaponin B	Astringent	CC1(C)C[C@@H](O)[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1	https://doi.org/10.3390/molecules28083298
Saponin B	Astringent	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC=C7[C@@H]8CC(C)(C)CC[C@]8(C(=O)O)CC[C@@]7(C)[C@]6(C)CC[C@H]5C4(C)C)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	https://doi.org/10.3390/molecules28083298
DDMP soyasaponin	Astringent	CC1=C(O)C(=O)CC(OC2CC(C)(C)CC3C4=CCC5C6(C)CCC(OC7OC(C(=O)O)C(O)C(O)C7OC7OC(CO)C(O)C(O)C7OC7OC(C)C(O)C(O)C7O)C(C)(CO)C6CCC5(C)C4(C)CCC23C)O1	https://doi.org/10.3390/molecules28083298
p-Hydroxybenzoic acid	Astringent	O=C(O)c1ccc(O)cc1	https://doi.org/10.3390/molecules28083298
Protocatechuic acid	Astringent	O=C(O)c1ccc(O)c(O)c1	https://doi.org/10.3390/molecules28083298
p-Coumaric acid	Astringent	O=C(O)/C=C/c1ccc(O)cc1	https://doi.org/10.3390/molecules28083298
m-Coumaric acid	Astringent	O=C(O)/C=C/c1cccc(O)c1	https://doi.org/10.3390/molecules28083298
Caffeic acid	Astringent	O=C(O)/C=C/c1ccc(O)c(O)c1	https://doi.org/10.3390/molecules28083298
Resveratrol	Astringent	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	https://doi.org/10.3390/molecules28083298
Procyanidin B4	Astringent	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2	https://doi.org/10.3390/molecules28083298
Procyanidin C2	Astringent	Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2	https://doi.org/10.3390/molecules28083298
daidzein	Astringent	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	https://doi.org/10.3390/molecules28083298
formononetin	Astringent	COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1	https://doi.org/10.3390/molecules28083298
genistein	Astringent	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	https://doi.org/10.3390/molecules28083298
malonyl daidzein	Astringent	O=C(CC(=O)c1oc2cc(O)ccc2c(=O)c1-c1ccc(O)cc1)c1oc2cc(O)ccc2c(=O)c1-c1ccc(O)cc1	https://doi.org/10.3390/molecules28083298
malonyl glycitin	Astringent	O=C(O)CNC(=O)CC(=O)NCC(=O)O	https://doi.org/10.3390/molecules28083298
malonyl genistein	Astringent	O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc(O)c3c(=O)c(-c4ccc(O)cc4)coc3c2)[C@H](O)[C@@H](O)[C@@H]1O	https://doi.org/10.3390/molecules28083298
Prodelphinidin A1	Astringent	Oc1cc(O)c2c(c1)OC1(c3cc(O)c(O)c(O)c3)Oc3cc(O)c4c(c3C2C1O)OC(c1cc(O)c(O)c(O)c1)C(O)C4	https://doi.org/10.3390/molecules28083298
