Name	Taste	Smiles	Reference
Sodium N-(4-bromo-3-methylphenyl)sulfamate	Sour	Cc1cc(NS(=O)(=O)[O-])ccc1Br.[Na+]	ChemTasteDB
Picric acid	Sour	O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1	ChemTasteDB
3-Chloro-4-morpholinophenylsulfamic acid sodium salt	Sour	O=S(=O)([O-])Nc1ccc(N2CCOCC2)c(Cl)c1.[Na+]	ChemTasteDB
Adipic acid	Sour	O=C(O)CCCCC(=O)O	ChemTasteDB
Ascorbic acid	Sour	O=C1OC(C(O)CO)C(O)=C1O	ChemTasteDB
Benzoic acid	Sour	O=C(O)c1ccccc1	ChemTasteDB
Carbonic acid	Sour	O=C(O)O	ChemTasteDB
Citric acid	Sour	O=C(O)CC(O)(CC(=O)O)C(=O)O	ChemTasteDB
Formic acid	Sour	O=CO	ChemTasteDB
Lactic acid	Sour	CC(O)C(=O)O	ChemTasteDB
Malic acid	Sour	O=C(O)CC(O)C(=O)O	ChemTasteDB
N-(1-methylhexyl)imidodisulfuric acid disodium salt	Sour	CCCCCC(C)N(S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	ChemTasteDB
N-(1-methyloctyl)imidodisulfuric acid disodium salt	Sour	CCCCCCCC(C)N(S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	ChemTasteDB
N-(2,2-dimethoxyethyl)imidodisulfuric acid disodium salt	Sour	COC(CN(S(=O)(=O)[O-])S(=O)(=O)[O-])OC.[Na+].[Na+]	ChemTasteDB
N-(2-methoxyethyl)imidodisulfuric acid disodium salt	Sour	COCCN(S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	ChemTasteDB
N-(3-ethoxypropyl)imidodisulfuric acid disodium salt	Sour	CCOCCCN(S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	ChemTasteDB
N-[2-[Methyl(sodiooxysulfonyl)amino]ethyl]imidodisulfuric acid disodium salt	Sour	CN(CCN(S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]	ChemTasteDB
N-Isobutylimidodisulfuric acid disodium salt	Sour	CC(C)CN(S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	ChemTasteDB
N-Isopropylimidodisulfuric acid disodium salt	Sour	CC(C)N(S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	ChemTasteDB
N-Propylimidodisulfuric acid disodium salt	Sour	CCCN(S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	ChemTasteDB
Oxalic acid	Sour	O=C(O)C(=O)O	ChemTasteDB
Phosphoric acid	Sour	O=P(O)(O)O	ChemTasteDB
Propionic acid	Sour	CCC(=O)O	ChemTasteDB
Sodium 3-(sulfonatoamino)benzene-1-sulfonate	Sour	O=S(=O)([O-])Nc1cccc(S(=O)(=O)[O-])c1.[Na+]	ChemTasteDB
Sodium N-(1,3-benzothiazol-2-yl)sulfamate	Sour	O=S(=O)([O-])Nc1nc2ccccc2s1.[Na+]	ChemTasteDB
Sodium N-(2-acetylphenyl)sulfamate	Sour	CC(=O)c1ccccc1NS(=O)(=O)[O-].[Na+]	ChemTasteDB
Sodium N-(2-chloro-4-methylphenyl)sulfamate	Sour	Cc1ccc(NS(=O)(=O)[O-])c(Cl)c1.[Na+]	ChemTasteDB
Sodium N-(2-fluoro-4-iodophenyl)sulfamate	Sour	O=S(=O)([O-])Nc1ccc(I)cc1F.[Na+]	ChemTasteDB
Sodium N-(2-methoxy-5-methylphenyl)sulfamate	Sour	COc1ccc(C)cc1NS(=O)(=O)[O-].[Na+]	ChemTasteDB
Sodium N-(4-methyl-5-propyl-1,3-thiazol-2-yl)sulfamate	Sour	CCCc1sc(NS(=O)(=O)[O-])nc1C.[Na+]	ChemTasteDB
Sodium N-(5-benzyl-1,3,4-thiadiazol-2-yl)sulfamate	Sour	O=S(=O)([O-])Nc1nnc(Cc2ccccc2)s1.[Na+]	ChemTasteDB
Sodium N-(5-methyl-2-nitrophenyl)sulfamate	Sour	Cc1ccc([N+](=O)[O-])c(NS(=O)(=O)[O-])c1.[Na+]	ChemTasteDB
Sodium N-(5-tert-butyl-1,2-oxazol-3-yl)sulfamate	Sour	CC(C)(C)c1cc(NS(=O)(=O)[O-])no1.[Na+]	ChemTasteDB
Sodium N-[4-(butan-2-yl)phenyl]sulfamate	Sour	CCC(C)c1ccc(NS(=O)(=O)[O-])cc1.[Na+]	ChemTasteDB
Tartaric acid	Sour	O=C(O)C(O)C(O)C(=O)O	ChemTasteDB
