Name	Taste	Smiles	Reference
30950-27-7	Sweet	C=C(C)C1CC=C(/C=N/O)CC1	VirtuousSweetBitter
Abrusoside A	Sweet	CC1=CC[C@@H]([C@@H](C)[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@](C)(C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)OC1=O	VirtuousSweetBitter
ABRUSOSIDE D	Sweet	CC1=CC[C@@H]([C@@H](C)[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@](C)(C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)OC1=O	VirtuousSweetBitter
Abrusoside E	Sweet	CC1=CC[C@@H]([C@@H](C)[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@@](C)(C(=O)O)[C@@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)OC1=O	VirtuousSweetBitter
Apioglycyrrhizin	Sweet	CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2OC[C@](O)(CO)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12	VirtuousSweetBitter
Araboglycyrrhizin	Sweet	CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1	VirtuousSweetBitter
Baiyunoside	Sweet	CC1=C(CCc2ccoc2)[C@@]2(C)CC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)[C@@H]2CC1	VirtuousSweetBitter
Carnosifloside VI	Sweet	C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C)CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O	VirtuousSweetBitter
Cyclocarioside A	Sweet	CC(=O)OC[C@@H]1O[C@@H](OC2CC[C@]3(C)C4C[C@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@H](O)[C@H]5O)C5C([C@]6(C)CCC(C(C)(C)O)O6)CC[C@]5(C)C4C(C)CC3C2(C)C)[C@H](O)[C@H]1O	VirtuousSweetBitter
Ethyl tiglate	Sweet	C/C=C(\C)C(=O)OCC	VirtuousSweetBitter
Fucoidan	Sweet	C[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1OS(=O)(=O)O	VirtuousSweetBitter
Gamma-undecalactone	Sweet	CCCCCCCC1CCC(=O)O1	VirtuousSweetBitter
Mogroside V	Sweet	C[C@H](CC[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C	VirtuousSweetBitter
	Sweet	CCNC(=O)c1c(C[N+](=O)[O-])sc(-c2ccnc(N)c2)c1C(=O)Nc1ccc(Cl)cc1	VirtuousSweetBitter
Osladin	Sweet	C[C@H](C1CC[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O1)C1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C	VirtuousSweetBitter
Paradol	Sweet	CCCCCCCC(=O)CCc1ccc(O)c(OC)c1	VirtuousSweetBitter
Polypodoside A	Sweet	C[C@@H]([C@H]1CC[C@@H]2C3=CC(=O)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)[C@H]1CC[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O1	VirtuousSweetBitter
Pterocaryoside A	Sweet	C=C(C)[C@@H]1CC[C@]2(C)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@@]1(C)CCC(=O)O	VirtuousSweetBitter
Pterocaryoside B	Sweet	C=C(C)[C@@H]1CC[C@]2(C)[C@H](C[C@@H](O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@@]1(C)CCC(=O)O	VirtuousSweetBitter
rebaudioside	Sweet	C=C1C[C@@]23CCC4C(C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3	VirtuousSweetBitter
Rubusoside	Sweet	C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3	VirtuousSweetBitter
Scandenoside R6	Sweet	C/C(=C/CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	VirtuousSweetBitter
Selligueain A	Sweet	Oc1ccc([C@H]2Oc3c4c(cc(O)c3[C@H](c3c(O)cc(O)c5c3O[C@H](c3ccc(O)cc3)[C@@H](O)C5)[C@H]2O)O[C@@]2(c3ccc(O)cc3)Oc3cc(O)cc(O)c3[C@@H]4C2O)cc1	VirtuousSweetBitter
Stevioside	Sweet	C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3	VirtuousSweetBitter
Volemitol	Sweet	OC[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO	VirtuousSweetBitter
Ziziphin	Sweet	CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@@]2(C)C[C@H](C=C(C)C)O[C@]34C[C@]5(CO3)[C@H](CC[C@@H]3[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@]35C)[C@H]42)[C@@H]1OC(C)=O	VirtuousSweetBitter
(+)-alpha-Terpineol	Sweet	CC1=CC[C@H](C(C)(C)O)CC1	VirtuousSweetBitter
(+)-cis-alpha-Irone	Sweet	CC(=O)/C=C/[C@H]1C(C)=CC[C@@H](C)C1(C)C	VirtuousSweetBitter
(1E)-1-phenyloct-1-en-3-yl acetate	Sweet	CCCCCC(/C=C/c1ccccc1)OC(C)=O	VirtuousSweetBitter
(2E,4E)-Octa-2,4-dienal	Sweet	CCC/C=C/C=C/C=O	VirtuousSweetBitter
(3E)-2-hydroxy-4,8-dimethylnona-3,7-dienal	Sweet	CC(C)=CCC/C(C)=C/C(O)C=O	VirtuousSweetBitter
(E)-2-(2-Octenyl)cyclopentanone	Sweet	CCCCC/C=C/CC1CCCC1=O	VirtuousSweetBitter
(E)-3-Hexen-1-ol, pentanoate	Sweet	CC/C=C/CCOC(=O)CCCC	VirtuousSweetBitter
(E)-Hept-2-enal	Sweet	CCCC/C=C/C=O	VirtuousSweetBitter
(Z)-3-hexenyl hexanoate	Sweet	CC/C=C\CCOC(=O)CCCCC	VirtuousSweetBitter
(Z)-Hex-2-enyl acetate	Sweet	CCC/C=C\COC(C)=O	VirtuousSweetBitter
(Z)-Hex-3-en-1-ol	Sweet	CC/C=C\CCO	VirtuousSweetBitter
104-09-6	Sweet	Cc1ccc(CC=O)cc1	VirtuousSweetBitter
