Name	Taste	Smiles	Reference
(-)-menthyl lactate	Tasteless	CC(O)C(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C	VirtuousSweetBitter
Calcium phosphate	Tasteless	O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2]	VirtuousSweetBitter
piperine	Tasteless	O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1	VirtuousSweetBitter
(R)-3-amino-3-phenylpropionic acid analog of N-(4-cyanophenyl)-N' carboxyethyl urea	Tasteless	O=C(O)CC(NC(=O)Nc1ccc([N+](=O)[O-])cc1)c1ccccc1	VirtuousSweetBitter
3-anilino-2-phenyl-3H-naphtho-[I, 2-d]imidazol-5-sulfonate (TSN)	Tasteless	O=S(=O)(O)c1cc2c(nc(-c3ccccc3)n2Nc2ccccc2)c2ccccc12	VirtuousSweetBitter
Compound 27	Tasteless	COc1ccc(C2OCc3ccccc3S2)c(C=CCc2ccc([N+](=O)[O-])cc2)c1O	VirtuousSweetBitter
Compound 29	Tasteless	COc1ccc(C2Oc3ccccc3CC2=NO)cc1O	VirtuousSweetBitter
Dihydroquercetin	Tasteless	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O	VirtuousSweetBitter
Piperine	Tasteless	O=C(C=CC=CC1CCC2OCOC2C1)N1CCCCC1	VirtuousSweetBitter
Suosan derivative 7	Tasteless	O=C(NCCC(=O)OS(=O)(=O)O)Nc1ccc([N+](=O)[O-])cc1	VirtuousSweetBitter
2,6-Di-tert-butyl-4-methylphenol	Tasteless	Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	VirtuousSweetBitter
4-Chlorophenyl phenyl sulfone	Tasteless	O=S(=O)(c1ccccc1)c1ccc(Cl)cc1	VirtuousSweetBitter
6-aminohexanoic acid	Tasteless	NCCCCCC(=O)O	VirtuousSweetBitter
ACENOCOUMAROL	Tasteless	CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O	VirtuousSweetBitter
AgI	Tasteless	[Ag+].[I-]	VirtuousSweetBitter
allantoin	Tasteless	NC(=O)NC1NC(=O)NC1=O	VirtuousSweetBitter
Argon	Tasteless	[Ar]	VirtuousSweetBitter
BARIUM CARBONATE	Tasteless	O=C([O-])[O-].[Ba+2]	VirtuousSweetBitter
BARIUM SULFATE	Tasteless	O=S(=O)([O-])[O-].[Ba+2]	VirtuousSweetBitter
benzoic acid	Tasteless	O=C(O)c1ccccc1	VirtuousSweetBitter
BENZOYL PEROXIDE	Tasteless	O=C(OOC(=O)c1ccccc1)c1ccccc1	VirtuousSweetBitter
Bi(NO3)3	Tasteless	O=[N+]([O-])O[Bi](O[N+](=O)[O-])O[N+](=O)[O-]	VirtuousSweetBitter
bisacodyl	Tasteless	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1	VirtuousSweetBitter
BITOSCANATE	Tasteless	S=C=Nc1ccc(N=C=S)cc1	VirtuousSweetBitter
Butyl phthalyl butyl glycolate	Tasteless	CCCCOC(=O)COC(=O)c1ccccc1C(=O)OCCCC	VirtuousSweetBitter
CALCIUM GLUCONATE	Tasteless	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]	VirtuousSweetBitter
CALUSTERONE	Tasteless	C[C@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12	VirtuousSweetBitter
carbon monoxide	Tasteless	[C-]#[O+]	VirtuousSweetBitter
CARBROMAL	Tasteless	CCC(Br)(CC)C(=O)NC(N)=O	VirtuousSweetBitter
CHLORPHENESIN CARBAMATE	Tasteless	NC(=O)OCC(O)COc1ccc(Cl)cc1	VirtuousSweetBitter
COUMATETRALYL	Tasteless	O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21	VirtuousSweetBitter
DL-DOPA	Tasteless	NC(Cc1ccc(O)c(O)c1)C(=O)O	VirtuousSweetBitter
droperidol	Tasteless	O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1	VirtuousSweetBitter
ethylestrenol	Tasteless	CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C	VirtuousSweetBitter
fluoxymesterone	Tasteless	C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	VirtuousSweetBitter
furosemide	Tasteless	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl	VirtuousSweetBitter
Helium	Tasteless	[He]	VirtuousSweetBitter
hexachlorophene	Tasteless	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	VirtuousSweetBitter
Hydrogen	Tasteless	[H][H]	VirtuousSweetBitter
hydrogen sulfide	Tasteless	S	VirtuousSweetBitter
IOPANOIC ACID	Tasteless	CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O	VirtuousSweetBitter
Lauroyl peroxide	Tasteless	CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC	VirtuousSweetBitter
Lysergide	Tasteless	CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	VirtuousSweetBitter
MAGNESIUM STEARATE	Tasteless	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2]	VirtuousSweetBitter
Mephobarbital	Tasteless	CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O	VirtuousSweetBitter
