Name	Smiles	Taste	Reference
SAEQK	C[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O	Umami	VirtuousUmami
DG	N[C@@H](CC(=O)O)C(=O)NCC(=O)O	Umami	VirtuousUmami
LSERYP	CC(C)C[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)O	Umami	VirtuousUmami
EEEQ	NC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	VirtuousUmami
EINEL	CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O	Umami	VirtuousUmami
SE	N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	VirtuousUmami
DPQ	NC(=O)CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CC(=O)O)C(=O)O	Umami	VirtuousUmami
HCHTN	C[C@@H](O)[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CS)NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](CC(N)=O)C(=O)O	Umami	VirtuousUmami
PDKPNT	C[C@@H](O)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1)C(=O)O	Umami	VirtuousUmami
LGAGGSLA	CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](C)C(=O)O	Umami	VirtuousUmami
ALPEEV	CC(C)C[C@H](NC(=O)[C@H](C)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)O)C(C)C	Umami	VirtuousUmami
SPE	N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	VirtuousUmami
ET	C[C@@H](O)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	VirtuousUmami
ENE	NC(=O)C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	VirtuousUmami
KGNEESLA	CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](C)C(=O)O	Umami	VirtuousUmami
EG	N[C@@H](CCC(=O)O)C(=O)NCC(=O)O	Umami	VirtuousUmami
NGKET	C[C@@H](O)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H](N)CC(N)=O)C(=O)O	Umami	VirtuousUmami
SSRNEQSR	N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CO)C(=O)O	Umami	VirtuousUmami
EGSEAPDGSSR	C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](N)CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	VirtuousUmami
NRTF	C[C@@H](O)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	Umami	VirtuousUmami
PE	O=C(O)CC[C@H](NC(=O)[C@@H]1CCCN1)C(=O)O	Umami	VirtuousUmami
EY	N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	VirtuousUmami
