molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Molecule     1",0,0,0,0,0,0,1,0,246.305,4.560,475.649,327.368,104.692,43.589,0.000,826.608,0.000,5.000,0.0251607,0.0000000,0.8955262,27.343,7.093,11.618,6.797,1.579,-2.613,-2.195,-3.430,1007.171,-0.307,498.545,-3.295,10.105,0.507,5,-0.320,3,89.943,0.000,0.000,64.349,3,0,13,0,10,6,18,0,0.304
"Molecule     2",9,0,0,0,0,20,3,-2,624.594,6.045,909.721,261.501,410.533,237.687,0.000,1742.769,9.000,20.300,0.0209672,0.0669436,0.7698689,53.020,21.167,42.881,35.083,-1.514,-2.649,-4.250,-6.389,1.267,-5.260,0.365,-6.328,9.053,0.686,10,-1.362,1,0.000,0.000,0.000,255.696,15,3,24,0,24,10,44,2,0.001
"Molecule     3",0,0,0,0,0,9,2,-2,410.377,3.514,631.900,246.546,286.252,99.102,0.000,1175.489,5.000,13.250,0.0105029,0.0468870,0.8524373,36.057,13.005,26.858,22.250,-0.773,-2.468,-3.139,-4.392,19.115,-2.605,6.866,-5.582,9.526,0.576,7,-0.786,2,45.351,0.000,0.000,172.310,10,0,18,0,18,5,29,2,0.004
"Molecule     4",0,0,0,0,0,5,2,-2,480.468,4.343,629.929,376.178,252.419,1.332,0.000,1247.467,2.000,12.900,0.0151191,0.0289610,0.8896641,40.572,12.093,23.924,17.494,0.091,-2.678,-4.109,-3.324,40.014,-1.864,15.258,-5.687,9.700,0.407,8,-0.537,2,43.195,0.000,0.000,183.888,11,1,19,0,19,13,34,1,0.002
"Molecule     5",1,0,0,0,0,8,2,-2,564.585,7.178,724.489,459.205,261.306,3.978,0.000,1485.468,3.000,13.650,0.0346889,0.0326333,0.8690444,48.196,14.389,28.713,19.341,1.083,-3.554,-5.438,-3.670,32.956,-2.225,12.371,-5.553,9.452,0.402,10,-0.199,1,34.537,0.000,0.000,199.675,12,2,19,0,19,13,40,1,0.000
"Molecule     6",17,0,0,0,0,25,3,-2,943.133,8.402,1300.740,834.912,441.104,24.723,0.000,2664.042,11.000,30.900,0.0264978,0.0787888,0.7144995,84.645,29.157,62.345,47.050,-1.201,-4.075,-5.388,-6.270,0.650,-6.704,0.178,-7.162,9.652,-0.592,17,-1.591,1,0.000,0.000,0.000,288.615,18,3,35,0,35,29,66,2,0.000
"Molecule     7",1,0,0,0,0,10,3,-2,362.333,7.200,523.871,210.591,245.225,68.056,0.000,980.259,5.000,16.300,0.0528821,0.0695742,0.9109635,27.305,10.927,25.849,24.283,-2.278,-0.929,-0.712,-3.297,46.820,-2.009,18.082,-4.839,9.759,-0.749,7,-1.227,2,30.543,0.000,0.000,158.640,10,1,16,3,13,11,25,1,0.619
"Molecule     8",1,0,0,0,0,12,4,-2,482.440,3.933,718.503,222.945,281.394,214.165,0.000,1319.450,5.000,17.350,0.0117219,0.0539953,0.8097139,40.990,15.124,30.758,26.584,-1.347,-2.184,-2.640,-5.632,21.254,-3.021,7.700,-4.799,9.391,0.222,7,-1.284,2,16.899,0.000,0.000,188.509,12,2,22,3,19,11,34,2,0.050
"Molecule     9",0,0,0,1,0,10,4,-2,520.489,3.301,785.378,356.075,253.134,176.168,0.000,1481.764,3.000,16.250,0.0073555,0.0358373,0.8003365,48.408,15.713,29.677,22.723,0.708,-3.341,-3.969,-3.795,9.978,-2.674,4.325,-4.604,9.400,0.516,5,-1.013,2,23.057,0.000,0.000,189.749,12,2,22,0,22,10,37,1,0.006
"Molecule    10",1,0,0,0,0,3,2,-2,378.421,4.468,516.186,304.489,182.397,29.299,0.000,997.916,3.000,9.900,0.0200070,0.0332193,0.9355960,32.136,10.056,20.663,15.885,0.330,-2.443,-3.308,-2.714,184.598,-1.007,79.658,-4.490,10.543,0.748,5,-0.374,3,69.439,0.000,0.000,122.983,7,0,19,0,19,13,27,0,0.044
